"anime_id","title","type","source","episodes","status","rating","score","scored_by","rank","popularity","members","favorites","premiered","broadcast","producer","producer_count","licensor","licensor_count","studio","studio_count","genre","genre_count","duration_min","aired_from_year"
2237,"Rozen Maiden: Meitantei Kunkun - Duell Walzer","Special","Manga",1,"Finished Airing","PG-13 - Teens 13 or older",6.56,7235,5389,3062,15033,17,"","","Mellow Head",1,"",0,"Nomad",1,"Comedy, Mystery",2,7,2006
3430,"Blame! Prologue","OVA","Manga",2,"Finished Airing","PG-13 - Teens 13 or older",5.65,2919,8095,4320,6727,5,"","","",0,"",0,"Production I.G",1,"Action, Mecha, Sci-Fi",3,4,2007
32574,"Kekkai Sensen: Ousama no Restaurant no Ousama","OVA","Manga",1,"Finished Airing","R - 17+ (violence & profanity)",7.45,9088,1812,2659,20290,14,"","","TOHO animation",1,"",0,"Bones",1,"Action, Comedy, Super Power, Supernatural, Fantasy, Shounen",6,24,2016
31414,"Nijiiro Days","TV","Manga",24,"Finished Airing","PG-13 - Teens 13 or older",7.5,40787,1638,893,97026,427,"Winter 2016","Sundays at 22:00 (JST)","YTV, Tokuma Japan, Daiichikosho, Shueisha",4,"Funimation",1,"Production Reed",1,"Comedy, Romance, School, Shoujo, Slice of Life",5,13,2016
137,"Hunter x Hunter: Yorkshin City Kanketsu-hen","OVA","Manga",8,"Finished Airing","PG-13 - Teens 13 or older",8.39,39820,171,1198,67870,275,"","","",0,"",0,"Nippon Animation",1,"Action, Adventure, Super Power, Shounen",4,24,2002
6993,"Koneko no Rakugaki","Movie","Original",1,"Finished Airing","G - All Ages",5.88,471,7621,8503,884,0,"","","",0,"",0,"Toei Animation",1,"Comedy",1,13,1957
1047,"On Your Mark","Music","Music",1,"Finished Airing","G - All Ages",7.56,10159,1468,2842,17582,49,"","","",0,"",0,"Studio Ghibli",1,"Drama, Music, Sci-Fi",3,6,1995
597,"Neko no Ongaeshi","Movie","Other",1,"Finished Airing","G - All Ages",7.94,75080,632,719,119491,640,"","","",0,"Walt Disney Studios, GKIDS",2,"Studio Ghibli",1,"Adventure, Drama, Fantasy",3,75,2002
15811,"Girls & Panzer Specials","Special","Original",6,"Finished Airing","PG-13 - Teens 13 or older",7.21,10724,2775,2633,20609,22,"","","",0,"Sentai Filmworks",1,"Actas",1,"Military, School",2,12,2012
32740,"Girls & Panzer Movie Specials","Special","Original",3,"Finished Airing","PG-13 - Teens 13 or older",7.36,5346,2180,3474,11444,29,"","","",0,"",0,"Actas",1,"Military, School",2,15,2016
24625,"Gundam Build Fighters Try","TV","Original",25,"Finished Airing","G - All Ages",7.44,12879,1847,2400,24272,97,"Fall 2014","Wednesdays at 18:00 (JST)","TV Tokyo, Sotsu",2,"Nozomi Entertainment",1,"Sunrise",1,"Action, Sci-Fi, Mecha",3,25,2014
3604,"Hidamari Sketch x 365","TV","4-koma manga",13,"Finished Airing","PG-13 - Teens 13 or older",7.87,11092,755,2533,21970,133,"Summer 2008","Fridays at 01:25 (JST)","Aniplex, Lantis, TBS, Movic, Houbunsha",5,"Sentai Filmworks",1,"Shaft",1,"Slice of Life, Comedy, School, Seinen",4,24,2008
